記号,説明,木製・樹脂製,,,,金属木複合製・金属樹脂複合製,,,,金属製,,,,ガラス単体,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3LsA12,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層12mm）,1.95 ,1.82 ,0.27 ,0.21 ,2.27 ,2.09 ,0.30 ,0.23 ,2.64 ,2.41 ,0.30 ,0.23 ,1.40 ,1.30 ,0.37 ,0.29 
3LsA13,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層13mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.30 ,0.37 ,0.29 
3LsA14,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層14mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsA15,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層15mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsA16,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層16mm）,1.82 ,1.70 ,0.27 ,0.21 ,2.11 ,1.95 ,0.30 ,0.23 ,2.48 ,2.26 ,0.30 ,0.23 ,1.20 ,1.20 ,0.37 ,0.29 
3FA06,三層ガラス（Low-E　なし、空気層6mm）,2.55 ,2.36 ,0.52 ,0.38 ,2.99 ,2.73 ,0.58 ,0.42 ,3.37 ,3.05 ,0.58 ,0.42 ,2.30 ,2.20 ,0.72 ,0.53 
3FA07,三層ガラス（Low-E　なし、空気層7mm）,2.48 ,2.30 ,0.52 ,0.38 ,2.91 ,2.66 ,0.58 ,0.42 ,3.29 ,2.98 ,0.58 ,0.42 ,2.20 ,2.10 ,0.72 ,0.53 
3FA08,三層ガラス（Low-E　なし、空気層8mm）,2.41 ,2.24 ,0.52 ,0.38 ,2.83 ,2.59 ,0.58 ,0.42 ,3.21 ,2.91 ,0.58 ,0.42 ,2.10 ,2.00 ,0.72 ,0.53 
3FA09,三層ガラス（Low-E　なし、空気層9mm）,2.41 ,2.24 ,0.52 ,0.38 ,2.83 ,2.59 ,0.58 ,0.42 ,3.21 ,2.91 ,0.58 ,0.42 ,2.10 ,1.90 ,0.72 ,0.53 
3FA10,三層ガラス（Low-E　なし、空気層10mm）,2.35 ,2.18 ,0.52 ,0.38 ,2.75 ,2.52 ,0.58 ,0.42 ,3.13 ,2.84 ,0.58 ,0.42 ,2.00 ,1.90 ,0.72 ,0.53 
3FA11,三層ガラス（Low-E　なし、空気層11mm）,2.35 ,2.18 ,0.52 ,0.38 ,2.75 ,2.52 ,0.58 ,0.42 ,3.13 ,2.84 ,0.58 ,0.42 ,2.00 ,1.80 ,0.72 ,0.53 
3FA12,三層ガラス（Low-E　なし、空気層12mm）,2.28 ,2.12 ,0.52 ,0.38 ,2.67 ,2.45 ,0.58 ,0.42 ,3.05 ,2.77 ,0.58 ,0.42 ,1.90 ,1.80 ,0.72 ,0.53 
3FA13,三層ガラス（Low-E　なし、空気層13mm）,2.28 ,2.12 ,0.52 ,0.38 ,2.67 ,2.45 ,0.58 ,0.42 ,3.05 ,2.77 ,0.58 ,0.42 ,1.90 ,1.80 ,0.72 ,0.53 
